id,func
1,risk
1,reward anticipation
1,loss anticipation
2,mental representation
2,negative feedback processing
2,positive feedback processing
2,reinforcement learning
2,error detection
2,visual word recognition
2,categorization
2,response execution
2,response selection
2,visual form recognition
3,error detection
3,visual word recognition
3,reinforcement learning
4,
5,phonological working memory
5,visual pseudoword recognition
5,phonological assembly
5,lexical retrieval
5,phonological comparison
5,visual word recognition
6,Potential
8,visual letter recognition
8,response selection
8,vocal response execution
8,proactive control
9,response selection
9,vocal response execution
9,proactive control
9,visual pseudoword recognition
10,proactive control
10,response selection
10,response execution
10,visual form recognition
10,response inhibition
21,response selection
21,response execution
21,visual color discrimination
21,response conflict
21,error detection
22,spatial selective attention
22,response execution
22,response selection
22,visual form recognition
22,error detection
22,resistance to distractor inference
22,response conflict
