,0,0,0,0
0,1_2,25435.1176515,0.0,1.80919707222e-09
1,1_3,3568.62972935,0.0,1.73478670462e-09
2,1_4,8438.23321562,0.0,2.01894299728e-09
3,1_5,14680.4562445,-4.76837158203e-07,1.9844999599e-09
4,1_8,5292.22538814,2.38418579102e-07,2.0779577984e-09
5,1_9,4215.81042077,0.0,1.60101681661e-09
6,1_10,6782.94607445,-1.43051147461e-06,1.96372746943e-09
7,1_21,2854.06840902,-2.38418579102e-07,2.15002537262e-09
8,2_3,16375.7136375,-4.76837158203e-07,1.99560452467e-09
9,2_4,44387.8774978,-4.76837158203e-07,3.33526231074e-10
10,2_5,82028.0885541,4.76837158203e-07,9.7143866342e-11
11,2_8,22923.5273234,0.0,5.34966295689e-10
12,2_9,21889.785321,-4.76837158203e-07,5.86865735249e-10
13,2_10,28614.3410529,9.53674316406e-07,2.49943352227e-10
14,2_21,16041.444095,4.76837158203e-07,2.76658522254e-09
15,3_4,5516.61914127,0.0,1.92913995554e-09
16,3_5,9599.47538598,-4.76837158203e-07,1.55603895897e-09
17,3_8,5492.93022147,-4.76837158203e-07,1.22980954718e-09
18,3_9,5298.03176975,4.76837158203e-07,1.24487764723e-09
19,3_10,6821.54219482,0.0,1.254825802e-09
20,3_21,3833.96038476,-4.76837158203e-07,2.52324362387e-09
21,4_5,36172.7208405,-4.76837158203e-07,3.70066497959e-10
22,4_8,10523.0452088,0.0,5.20018386008e-10
23,4_9,9099.35912359,9.53674316406e-07,5.83129234303e-10
24,4_10,14048.5285018,4.76837158203e-07,3.92717409997e-10
25,4_21,4881.42581737,0.0,3.01280606287e-09
26,5_8,16567.374606,-4.76837158203e-07,4.25372354193e-10
27,5_9,15686.7182752,4.76837158203e-07,4.9683401735e-10
28,5_10,25575.6281611,0.0,2.45742321008e-10
29,5_21,7364.76004717,0.0,2.68821013536e-09
30,8_9,8338.29157136,-4.76837158203e-07,3.60321740837e-10
31,8_10,11387.8379625,9.53674316406e-07,3.52211559797e-10
32,8_21,4088.66494058,-2.38418579102e-07,3.29487285146e-09
33,9_10,11552.4643429,9.53674316406e-07,4.16905882427e-10
34,9_21,3615.76209029,4.76837158203e-07,2.18870572634e-09
35,10_21,5151.11075115,0.0,2.44381701288e-09
