,0,0,0
0,1_2,407218746.546,25435.1176515
1,1_3,272839284.556,3568.62972935
2,1_4,371610797.6,8438.23321562
3,1_5,417714589.207,14680.4562445
4,1_8,325162630.056,5292.22538814
5,1_9,316897976.623,4215.81042077
6,1_10,352946604.153,6782.94607445
7,1_21,226623184.338,2854.06840902
8,2_3,372441372.755,16375.7136375
9,2_4,1640724550.99,44387.8774978
10,2_5,5786390438.09,82028.0885541
11,2_8,1187531894.85,22923.5273234
12,2_9,1143543377.21,21889.785321
13,2_10,2068679474.55,28614.3410529
14,2_21,296050284.053,16041.444095
15,3_4,348209175.967,5516.61914127
16,3_5,491705927.65,9599.47538598
17,3_8,400055680.199,5492.93022147
18,3_9,390250577.659,5298.03176975
19,3_10,440485320.312,6821.54219482
20,3_21,245562655.695,3833.96038476
21,4_5,1877512715.34,36172.7208405
22,4_8,1011767815.38,10523.0452088
23,4_9,915778201.051,9099.35912359
24,4_10,1324501684.03,14048.5285018
25,4_21,259249453.947,4881.42581737
26,5_8,1437968926.05,16567.374606
27,5_9,1328261723.31,15686.7182752
28,5_10,2553105903.48,25575.6281611
29,5_21,310751795.597,7364.76004717
30,8_9,1157366781.61,8338.29157136
31,8_10,1205724442.78,11387.8379625
32,8_21,235687293.23,4088.66494058
33,9_10,1078055177.56,11552.4643429
34,9_21,257302115.27,3615.76209029
35,10_21,279376652.528,5151.11075115
